time,temperature_2m,relative_humidity_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2025-02-01 00:00:00,21.9,100.0,21.8,25.5,0.0,0.0,0.0,0.0,3.0,1010.5,1005.4,100.0,100.0,0.0,0.0,0.0,0.01,8.3,17.0,214.0,219.0,17.6,22.9,25.1,24.2,24.7,0.124,0.234,0.308,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 01:00:00,22.4,100.0,22.4,26.3,0.0,0.0,0.0,0.0,3.0,1011.4,1006.3,100.0,100.0,0.0,0.0,0.01,0.01,8.9,14.7,214.0,213.0,16.2,24.2,25.1,24.2,24.7,0.117,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 02:00:00,22.8,98.0,22.5,26.6,0.0,0.0,0.0,0.0,3.0,1012.4,1007.3,100.0,100.0,0.0,0.0,0.03,0.05,9.2,12.6,215.0,214.0,19.4,24.0,25.0,24.2,24.7,0.117,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 03:00:00,24.2,89.0,22.2,27.9,0.0,0.0,0.0,0.0,3.0,1013.6,1008.5,91.0,91.0,0.0,0.0,0.11,0.34,8.6,12.1,211.0,212.0,20.5,24.3,25.0,24.2,24.7,0.118,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 04:00:00,26.7,76.0,22.1,30.9,0.0,0.0,0.0,0.0,1.0,1014.2,1009.1,26.0,26.0,0.0,0.0,0.29,0.85,5.3,7.2,208.0,208.0,21.2,25.7,25.0,24.2,24.7,0.117,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 05:00:00,29.1,64.0,21.6,33.5,0.0,0.0,0.0,0.0,0.0,1013.8,1008.8,8.0,1.0,0.0,7.0,0.45,1.45,5.2,7.1,211.0,214.0,18.7,27.7,25.0,24.2,24.7,0.116,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 06:00:00,31.2,51.0,19.7,34.9,0.0,0.0,0.0,0.0,1.0,1013.0,1008.0,42.0,0.0,0.0,42.0,0.56,2.24,7.2,9.6,215.0,217.0,22.3,29.7,25.2,24.2,24.7,0.114,0.23,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 07:00:00,32.3,43.0,18.2,35.5,0.0,0.0,0.0,0.0,3.0,1011.7,1006.7,96.0,0.0,3.0,96.0,0.6,2.75,7.9,10.3,215.0,216.0,23.4,31.3,25.4,24.3,24.7,0.112,0.229,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 08:00:00,33.0,39.0,17.1,35.5,0.0,0.0,0.0,0.0,2.0,1010.6,1005.7,65.0,0.0,2.0,64.0,0.58,3.08,7.0,9.0,222.0,224.0,23.4,32.5,25.7,24.3,24.7,0.11,0.229,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 09:00:00,33.3,37.0,16.4,35.1,0.0,0.0,0.0,0.0,1.0,1009.5,1004.6,26.0,1.0,13.0,15.0,0.5,3.24,6.0,7.7,226.0,229.0,21.2,33.2,26.0,24.3,24.7,0.109,0.229,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 10:00:00,33.1,36.0,15.9,34.4,0.0,0.0,0.0,0.0,1.0,1009.1,1004.2,23.0,2.0,23.0,0.0,0.37,3.24,4.7,6.1,220.0,227.0,18.4,33.3,26.3,24.3,24.7,0.107,0.229,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 11:00:00,32.3,36.0,15.5,33.5,0.0,0.0,0.0,0.0,0.0,1009.4,1004.4,7.0,0.0,7.0,0.0,0.21,3.06,4.0,5.8,190.0,200.0,14.4,32.6,26.5,24.3,24.7,0.106,0.228,0.305,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 12:00:00,29.0,54.0,18.7,30.7,0.0,0.0,0.0,0.0,0.0,1010.1,1005.1,16.0,2.0,16.0,0.0,0.12,1.85,10.0,17.8,167.0,173.0,18.7,31.3,26.7,24.3,24.7,0.106,0.228,0.304,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 13:00:00,25.7,77.0,21.4,28.5,0.0,0.0,0.0,0.0,0.0,1011.0,1005.9,0.0,0.0,0.0,0.0,0.06,0.75,11.9,21.6,183.0,184.0,23.8,29.0,26.5,24.3,24.7,0.121,0.238,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 14:00:00,24.6,87.0,22.3,28.2,0.0,0.0,0.0,0.0,0.0,1011.7,1006.6,0.0,0.0,0.0,0.0,0.01,0.4,10.1,18.6,181.0,183.0,22.3,27.7,26.5,24.3,24.7,0.121,0.238,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 15:00:00,23.7,95.0,22.8,27.4,0.0,0.0,0.0,0.0,0.0,1012.7,1007.6,0.0,0.0,0.0,0.0,0.0,0.15,10.9,20.1,200.0,202.0,21.2,26.7,26.5,24.3,24.7,0.121,0.238,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 16:00:00,23.3,98.0,23.0,27.2,0.0,0.0,0.0,0.0,0.0,1013.0,1007.9,2.0,2.0,0.0,0.0,0.0,0.05,11.5,21.5,202.0,205.0,22.0,26.0,26.4,24.3,24.7,0.121,0.238,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 17:00:00,23.2,98.0,22.9,26.8,0.0,0.0,0.0,0.0,0.0,1013.0,1007.9,9.0,9.0,0.0,0.0,0.0,0.04,12.7,23.5,203.0,205.0,24.1,25.4,26.4,24.4,24.7,0.122,0.238,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 18:00:00,23.0,99.0,22.8,26.6,0.0,0.0,0.0,0.0,0.0,1012.6,1007.5,11.0,11.0,0.0,0.0,0.0,0.03,12.5,23.1,208.0,209.0,24.5,24.9,26.3,24.4,24.7,0.122,0.237,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 19:00:00,22.9,98.0,22.7,26.7,0.0,0.0,0.0,0.0,0.0,1012.2,1007.1,5.0,5.0,0.0,0.0,0.0,0.04,10.3,20.3,211.0,213.0,23.0,24.5,26.2,24.4,24.7,0.123,0.237,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
2025-02-01 20:00:00,22.7,99.0,22.5,26.3,0.0,0.0,0.0,0.0,0.0,1011.6,1006.5,5.0,5.0,0.0,0.0,0.0,0.03,11.1,21.1,217.0,220.0,20.5,24.2,26.0,24.4,24.7,0.123,0.237,0.31,0.328,20.281195,85.843376,44.0,0,GMT,GMT
